window,train_start,train_end,test_start,test_end,starting_capital,ending_capital,test_return,test_drawdown,test_trades,test_win_rate,test_profit_factor,buy_and_hold,sma_short,sma_long,rsi_period,rsi_entry,rsi_exit,ema_short,ema_long,macd_fast,macd_slow,macd_signal,atr_period,atr_stop_mult,atr_take_mult,min_entry_signals,min_exit_signals,stop_loss,take_profit,max_hold_days
1,demo-0001,demo-0250,demo-0251,demo-0350,10000.000000,10153.762929,0.01537629,0.03423578,3,0.66666667,1.80793951,0.16535457,29,178,8,45.072401,66.760602,40,62,12,62,4,7,2.922281,4.821400,3,2,0.01737057,0.16919853,34
2,demo-0101,demo-0350,demo-0351,demo-0450,10153.762929,7943.272730,-0.21770158,0.23269164,26,0.26923077,0.09546151,-0.28411468,9,146,27,56.552254,65.284445,46,51,18,50,5,23,2.573665,4.083250,1,3,0.07734153,0.07815368,22
3,demo-0201,demo-0450,demo-0451,demo-0550,7943.272730,7943.272730,0.00000000,0.00000000,0,0.00000000,0.00000000,0.14499600,18,57,26,33.772899,85.368468,37,135,10,35,20,19,2.195299,1.324971,3,2,0.06846102,0.03659122,17
4,demo-0301,demo-0550,demo-0551,demo-0650,7943.272730,7157.667895,-0.09890191,0.11407249,16,0.37500000,0.23324205,-0.14230738,15,152,25,35.514054,55.070423,3,167,5,39,11,18,3.992500,5.978458,1,3,0.02479561,0.13885831,51
