window,train_start,train_end,test_start,test_end,starting_capital,ending_capital,test_return,test_drawdown,test_trades,test_win_rate,test_profit_factor,buy_and_hold,sma_short,sma_long,rsi_period,rsi_entry,rsi_exit,ema_short,ema_long,macd_fast,macd_slow,macd_signal,atr_period,atr_stop_mult,atr_take_mult,min_entry_signals,min_exit_signals,stop_loss,take_profit,max_hold_days
1,2020-01-02,2022-12-30,2023-01-03,2023-07-05,10000.000000,11221.637614,0.12216376,0.03396521,19,0.57894737,3.09863281,0.04343101,48,53,26,48.127463,71.076743,36,41,7,34,17,16,1.548101,6.609436,3,1,0.04424200,0.05321456,38
2,2020-07-02,2023-07-05,2023-07-06,2024-01-03,11221.637614,10918.089307,-0.02705027,0.04830277,3,0.00000000,0.00000000,0.06575156,34,147,15,36.435489,65.472550,24,119,10,58,30,20,1.255634,5.197394,3,3,0.09464221,0.09645158,19
3,2020-12-31,2024-01-03,2024-01-04,2024-07-05,10918.089307,11150.170969,0.02125662,0.06338055,21,0.66666667,1.30934793,0.16951473,35,131,5,20.000000,95.000000,45,175,3,50,13,15,1.768934,1.733155,3,1,0.03207276,0.00500000,26
